ROUND,BETTER_SEED,WORSE_SEED,BARTTORVIK ADJUSTED EFFICIENCY,BARTTORVIK ADJUSTED TEMPO,FREE THROW %,OFFENSIVE REBOUND %,3PT RATE DEFENSE,KENPOM ADJUSTED DEFENSE,EFG % DEFENSE,TURNOVER % DEFENSE,3PT % DEFENSE,EFG %,ASSIST %,FREE THROW RATE,TURNOVER %,WIN %,FREE THROW % DEFENSE,BLOCKED %,3PT RATE,FREE THROW RATE DEFENSE,DEFENSIVE REBOUND %,ELITE SOS,OP ASSIST %,BLOCK %,UPSET
4,3,4,6.200000000000003,-2.0999999999999943,-2.9000000000000057,1.5,-1.8999999999999984,-9.700000000000005,-5.199999999999996,3.5,-3.1000000000000014,1.3999999999999986,5.399999999999999,0.4000000000000021,3.3999999999999986,0.6600000000000108,-3.3999999999999915,-0.3999999999999994,6.5,7.300000000000001,1.0,-8.449999999999996,-2.3999999999999986,1.9999999999999991,1
2,3,6,0.3000000000000007,9.599999999999994,6.200000000000003,-6.399999999999999,-0.7999999999999972,7.899999999999991,3.699999999999996,-4.600000000000001,2.1000000000000014,7.799999999999997,5.0,-5.600000000000001,0.200000000000001,2.589999999999989,-6.5,-3.9,1.2000000000000028,-3.8000000000000007,1.2999999999999972,0.9699999999999988,-5.399999999999999,-1.8999999999999984,0
2,2,10,9.4,-0.5,-2.799999999999997,0.3999999999999986,-3.1000000000000014,-1.3000000000000114,-5.200000000000003,-2.1000000000000014,-3.699999999999996,4.300000000000004,11.4,9.8,-0.0999999999999996,21.739999999999995,-6.299999999999997,-1.6999999999999993,3.0,-11.3,-3.5,-4.569999999999997,-1.5,4.4,0
1,1,16,35.5,0.7000000000000028,-2.300000000000012,6.199999999999999,-8.500000000000004,-9.0,-1.0,-3.0,-1.3999999999999986,6.399999999999999,3.800000000000004,4.200000000000003,-3.6999999999999993,30.3,3.3999999999999915,-0.7999999999999989,3.6000000000000014,-12.700000000000005,5.700000000000003,23.65,-13.799999999999995,0.5999999999999996,0
3,4,8,6.700000000000003,-4.400000000000006,-3.6000000000000085,1.5,0.8999999999999986,-5.799999999999997,-2.0999999999999943,5.6,-2.699999999999996,-1.5,-3.700000000000003,0.1999999999999993,-3.1,5.399999999999992,-1.4000000000000057,-0.5999999999999996,-5.899999999999999,7.699999999999999,-4.0,-2.52,3.1000000000000014,-0.1999999999999993,1
1,3,14,21.5,5.700000000000003,2.799999999999997,-8.700000000000003,0.2999999999999971,-2.9000000000000057,-1.2000000000000028,-3.1000000000000014,1.2000000000000028,11.4,18.200000000000003,-6.100000000000001,-2.700000000000001,26.12,-3.1000000000000085,-1.5,2.5,-8.400000000000002,1.7000000000000028,13.29,-4.200000000000003,3.200000000000001,0
3,2,3,2.0,-0.2000000000000028,3.799999999999997,1.8999999999999984,-2.8000000000000043,-0.9000000000000057,4.600000000000001,0.1999999999999993,7.399999999999999,1.1999999999999955,-3.699999999999996,10.6,1.6999999999999993,-9.360000000000014,3.799999999999997,1.0,-13.099999999999998,-10.5,0.4000000000000057,11.96,-1.8999999999999984,0.3999999999999986,0
2,3,6,-2.200000000000003,10.4,-10.0,6.200000000000003,0.8999999999999986,1.0999999999999943,0.1999999999999957,-0.3000000000000007,-1.8999999999999984,-1.8999999999999984,-3.5999999999999943,2.200000000000003,1.8000000000000007,0.7999999999999972,-9.700000000000005,2.7,-12.5,-4.299999999999997,-5.6000000000000085,2.9099999999999966,4.399999999999999,6.000000000000001,0
1,7,10,-9.6,-0.7000000000000028,-3.8000000000000114,-8.099999999999998,0.6000000000000014,3.3999999999999915,3.800000000000004,1.0,1.3999999999999986,-0.5,2.3999999999999986,2.8000000000000043,1.200000000000001,-11.209999999999994,1.3999999999999917,1.9000000000000004,2.0,-0.6000000000000014,-2.799999999999997,2.66,6.0,0.1000000000000014,1
2,10,15,12.8,-2.9000000000000057,7.599999999999994,4.800000000000001,6.5,-3.700000000000003,-1.0,1.2000000000000028,-3.700000000000003,-1.3999999999999986,8.400000000000006,-0.2000000000000028,1.1000000000000014,-11.589999999999996,-0.0999999999999943,1.0,7.5,-13.4,-9.799999999999995,18.66,16.400000000000006,2.200000000000001,0
